ZIP code,County,Year,Age Group,Number of Visits,County Fips code,Age-adjusted rate
"90230
(33.99506171100046, -118.39500957899969)",LOS ANGELES,2012,AllAges,121,6037,41.3
"90230
(33.99506171100046, -118.39500957899969)",LOS ANGELES,2012,Children (0-17),53,6037,79.7
"90230
(33.99506171100046, -118.39500957899969)",LOS ANGELES,2012,Adults (18+),68,6037,28
"90232
(34.019702237000445, -118.39595678999967)",LOS ANGELES,2012,AllAges,52,6037,34.9
"90232
(34.019702237000445, -118.39595678999967)",LOS ANGELES,2012,Children (0-17),21,6037,70
"90232
(34.019702237000445, -118.39595678999967)",LOS ANGELES,2012,Adults (18+),31,6037,22.8
"90240
(33.95620432700048, -118.11982734499969)",LOS ANGELES,2012,AllAges,79,6037,31.9
"90240
(33.95620432700048, -118.11982734499969)",LOS ANGELES,2012,Children (0-17),31,6037,50.6
"90240
(33.95620432700048, -118.11982734499969)",LOS ANGELES,2012,Adults (18+),48,6037,25.4
"90241
(33.94049278700044, -118.13166748599969)",LOS ANGELES,2012,AllAges,197,6037,46
"90241
(33.94049278700044, -118.13166748599969)",LOS ANGELES,2012,Children (0-17),80,6037,73.3
"90241
(33.94049278700044, -118.13166748599969)",LOS ANGELES,2012,Adults (18+),117,6037,36.5
"90242
(33.92203085800048, -118.14007941599971)",LOS ANGELES,2012,AllAges,218,6037,48.6
"90242
(33.92203085800048, -118.14007941599971)",LOS ANGELES,2012,Children (0-17),92,6037,74.7
"90242
(33.92203085800048, -118.14007941599971)",LOS ANGELES,2012,Adults (18+),126,6037,39.5
"90245
(33.92015381600049, -118.40580691799971)",LOS ANGELES,2012,AllAges,37,6037,26.1
"90245
(33.92015381600049, -118.40580691799971)",LOS ANGELES,2012,Children (0-17),15,6037,45
"90245
(33.92015381600049, -118.40580691799971)",LOS ANGELES,2012,Adults (18+),22,6037,19.6
"90247
(33.89189390000047, -118.29849831699971)",LOS ANGELES,2012,AllAges,278,6037,59.1
"90247
(33.89189390000047, -118.29849831699971)",LOS ANGELES,2012,Children (0-17),134,6037,116.1
"90247
(33.89189390000047, -118.29849831699971)",LOS ANGELES,2012,Adults (18+),144,6037,39.3
"90248
(33.87544370900048, -118.28237834699968)",LOS ANGELES,2012,AllAges,47,6037,54.4
"90248
(33.87544370900048, -118.28237834699968)",LOS ANGELES,2012,Children (0-17),24,6037,125.9
"90248
(33.87544370900048, -118.28237834699968)",LOS ANGELES,2012,Adults (18+),23,6037,29.5
"90249
(33.90050135700045, -118.31913709299971)",LOS ANGELES,2012,AllAges,211,6037,81.9
"90249
(33.90050135700045, -118.31913709299971)",LOS ANGELES,2012,Children (0-17),77,6037,125.1
"90249
(33.90050135700045, -118.31913709299971)",LOS ANGELES,2012,Adults (18+),134,6037,66.9
"90250
(33.91415336400047, -118.34715803299969)",LOS ANGELES,2012,AllAges,689,6037,70.2
"90250
(33.91415336400047, -118.34715803299969)",LOS ANGELES,2012,Children (0-17),359,6037,137.5
"90250
(33.91415336400047, -118.34715803299969)",LOS ANGELES,2012,Adults (18+),330,6037,46.8
"90254
(33.86430311500044, -118.39718642699972)",LOS ANGELES,2012,AllAges,19,6037,11.7
"90254
(33.86430311500044, -118.39718642699972)",LOS ANGELES,2012,Children (0-17),12,6037,35.2
"90254
(33.86430311500044, -118.39718642699972)",LOS ANGELES,2012,Adults (18+),,6037,
"90255
(33.978672351000455, -118.21899775099968)",LOS ANGELES,2012,AllAges,394,6037,52
"90255
(33.978672351000455, -118.21899775099968)",LOS ANGELES,2012,Children (0-17),206,6037,88.6
"90255
(33.978672351000455, -118.21899775099968)",LOS ANGELES,2012,Adults (18+),188,6037,39.2
"90260
(33.88913047700049, -118.3522981749997)",LOS ANGELES,2012,AllAges,199,6037,55.9
"90260
(33.88913047700049, -118.3522981749997)",LOS ANGELES,2012,Children (0-17),119,6037,127.2
"90260
(33.88913047700049, -118.3522981749997)",LOS ANGELES,2012,Adults (18+),80,6037,31.1
"90262
(33.92512015700049, -118.20319931099971)",LOS ANGELES,2012,AllAges,347,6037,48
"90262
(33.92512015700049, -118.20319931099971)",LOS ANGELES,2012,Children (0-17),170,6037,73
"90262
(33.92512015700049, -118.20319931099971)",LOS ANGELES,2012,Adults (18+),177,6037,39.4
"90265
(34.03506183100046, -118.7602985369997)",LOS ANGELES,2012,AllAges,12,6037,7.8
"90265
(34.03506183100046, -118.7602985369997)",LOS ANGELES,2012,Children (0-17),,6037,
"90265
(34.03506183100046, -118.7602985369997)",LOS ANGELES,2012,Adults (18+),,6037,
"90266
(33.89004292800047, -118.40324770999968)",LOS ANGELES,2012,AllAges,46,6037,14.7
"90266
(33.89004292800047, -118.40324770999968)",LOS ANGELES,2012,Children (0-17),14,6037,17
"90266
(33.89004292800047, -118.40324770999968)",LOS ANGELES,2012,Adults (18+),32,6037,13.9
"90270
(33.98850075300044, -118.1889476929997)",LOS ANGELES,2012,AllAges,121,6037,50.5
"90270
(33.98850075300044, -118.1889476929997)",LOS ANGELES,2012,Children (0-17),45,6037,50.3
"90270
(33.98850075300044, -118.1889476929997)",LOS ANGELES,2012,Adults (18+),76,6037,50.5
"90272
(34.04886156900045, -118.53572692799969)",LOS ANGELES,2012,AllAges,18,6037,8.5
"90272
(34.04886156900045, -118.53572692799969)",LOS ANGELES,2012,Children (0-17),,6037,
"90272
(34.04886156900045, -118.53572692799969)",LOS ANGELES,2012,Adults (18+),,6037,
"90274
(33.77664263000048, -118.37785984199968)",LOS ANGELES,2012,AllAges,33,6037,13.7
"90274
(33.77664263000048, -118.37785984199968)",LOS ANGELES,2012,Children (0-17),,6037,
"90274
(33.77664263000048, -118.37785984199968)",LOS ANGELES,2012,Adults (18+),27,6037,14.8
"90275
(33.76310359300044, -118.3666584179997)",LOS ANGELES,2012,AllAges,44,6037,9
"90275
(33.76310359300044, -118.3666584179997)",LOS ANGELES,2012,Children (0-17),,6037,
"90275
(33.76310359300044, -118.3666584179997)",LOS ANGELES,2012,Adults (18+),37,6037,9.6
"90277
(33.832723615000475, -118.38547663699967)",LOS ANGELES,2012,AllAges,69,6037,24.8
"90277
(33.832723615000475, -118.38547663699967)",LOS ANGELES,2012,Children (0-17),30,6037,55
"90277
(33.832723615000475, -118.38547663699967)",LOS ANGELES,2012,Adults (18+),39,6037,14.3
"90278
(33.87132030000049, -118.37072968899969)",LOS ANGELES,2012,AllAges,109,6037,28.4
"90278
(33.87132030000049, -118.37072968899969)",LOS ANGELES,2012,Children (0-17),59,6037,63.9
"90278
(33.87132030000049, -118.37072968899969)",LOS ANGELES,2012,Adults (18+),50,6037,16.1
"90280
(33.94496379700047, -118.19748997399972)",LOS ANGELES,2012,AllAges,384,6037,40.1
"90280
(33.94496379700047, -118.19748997399972)",LOS ANGELES,2012,Children (0-17),187,6037,64.1
"90280
(33.94496379700047, -118.19748997399972)",LOS ANGELES,2012,Adults (18+),197,6037,31.7
"90291
(33.99258071300045, -118.4663762939997)",LOS ANGELES,2012,AllAges,84,6037,36.4
"90291
(33.99258071300045, -118.4663762939997)",LOS ANGELES,2012,Children (0-17),23,6037,59
"90291
(33.99258071300045, -118.4663762939997)",LOS ANGELES,2012,Adults (18+),61,6037,28.5
"90292
(33.98163129900047, -118.4511079449997)",LOS ANGELES,2012,AllAges,62,6037,35.7
"90292
(33.98163129900047, -118.4511079449997)",LOS ANGELES,2012,Children (0-17),,6037,
"90292
(33.98163129900047, -118.4511079449997)",LOS ANGELES,2012,Adults (18+),55,6037,35.1
"90293
(33.95744265300044, -118.43916786999972)",LOS ANGELES,2012,AllAges,24,6037,30.8
"90293
(33.95744265300044, -118.43916786999972)",LOS ANGELES,2012,Children (0-17),,6037,
"90293
(33.95744265300044, -118.43916786999972)",LOS ANGELES,2012,Adults (18+),15,6037,13.9
"90301
(33.95672138200047, -118.35448805799967)",LOS ANGELES,2012,AllAges,279,6037,74.6
"90301
(33.95672138200047, -118.35448805799967)",LOS ANGELES,2012,Children (0-17),125,6037,129
"90301
(33.95672138200047, -118.35448805799967)",LOS ANGELES,2012,Adults (18+),154,6037,55.8
"90302
(33.97375380400047, -118.35768598199968)",LOS ANGELES,2012,AllAges,246,6037,84.6
